timestamp_x,planttimestamp,AXPPL 380MW ICR22 WMS 6 Wind Direction (°),AXPPL 380MW ICR22 WMS 6 GHI (W/m²),AXPPL 380MW ICR22 WMS 6 Ambient Temperature (°C),AXPPL 380MW ICR22 WMS 6 Humidity (%),AXPPL 380MW ICR22 WMS 6 POA (W/m²),AXPPL 380MW ICR22 WMS 6 Wind Speed (m/s),AXPPL 380MW ICR22 WMS 6 Module Temperature (°C),timestamp_y,AXPPL 380MW MCR PQM Active Power (kW)
29-02-2024 18:30,01-03-2024 00:00,324.072,0,21.42,32.933,0,0.766,21.485,29-02-2024 18:30,-1596.533
29-02-2024 18:45,01-03-2024 00:15,94.069,0,21.62,32.68,0,0.846,20.604,29-02-2024 18:45,-1550.733
29-02-2024 19:00,01-03-2024 00:30,9.16,0,21.047,33.753,0,0.83,19.515,29-02-2024 19:00,-1506.2
29-02-2024 19:15,01-03-2024 00:45,21.619,0,19.867,36.413,0,0.672,18.785,29-02-2024 19:15,-1482.867
29-02-2024 19:30,01-03-2024 01:00,124.441,0,19.547,37.08,0,0.312,18.424,29-02-2024 19:30,-1415.333
29-02-2024 19:45,01-03-2024 01:15,116.792,0,18.84,38.513,0,0.042,17.986,29-02-2024 19:45,-1460.533
29-02-2024 20:00,01-03-2024 01:30,71.033,0,18.98,38.247,0,0.366,18.025,29-02-2024 20:00,-1493.867
29-02-2024 20:15,01-03-2024 01:45,271.43,0,18.147,40.14,0,0.848,18.08,29-02-2024 20:15,-1471.467
29-02-2024 20:30,01-03-2024 02:00,256.769,0,18.9,38.58,0,1.074,18.849,29-02-2024 20:30,-1493.667
29-02-2024 20:45,01-03-2024 02:15,272.375,0,19.6,37.733,0,0.476,19.245,29-02-2024 20:45,-1571.867
29-02-2024 21:00,01-03-2024 02:30,319.776,0,18.807,39.74,0,0.598,18.721,29-02-2024 21:00,-1483.067
29-02-2024 21:15,01-03-2024 02:45,327.63,0,18.273,40.953,0,0.836,18.233,29-02-2024 21:15,-1505.267
29-02-2024 21:30,01-03-2024 03:00,305.828,0,17.987,42.027,0,0.788,18.01,29-02-2024 21:30,-1527.667
29-02-2024 21:45,01-03-2024 03:15,336.565,0,17.817,42.587,0,0.939,17.842,29-02-2024 21:45,-1561.067
29-02-2024 22:00,01-03-2024 03:30,342.477,0,17.46,44.74,0,0.802,17.267,29-02-2024 22:00,-1572.667
29-02-2024 22:15,01-03-2024 03:45,323.001,0,17.467,46.527,0,0.852,17.032,29-02-2024 22:15,-1652.267
29-02-2024 22:30,01-03-2024 04:00,324.41,0,17.253,48.04,0,0.794,16.932,29-02-2024 22:30,-1562
29-02-2024 22:45,01-03-2024 04:15,292.36,0,16.313,50.467,0,0.638,16.219,29-02-2024 22:45,-1538.533
29-02-2024 23:00,01-03-2024 04:30,291.006,0,16.313,50.953,0,1,16.191,29-02-2024 23:00,-1516.2
29-02-2024 23:15,01-03-2024 04:45,326.877,0,16.893,50.74,0,0.778,17.142,29-02-2024 23:15,-1561.533
29-02-2024 23:30,01-03-2024 05:00,334.509,0,17.02,51.573,0,0.958,17.629,29-02-2024 23:30,-1572.8
29-02-2024 23:45,01-03-2024 05:15,335.173,0,17.22,54.407,0,1.29,18.339,29-02-2024 23:45,-1561.467
01-03-2024 00:00,01-03-2024 05:30,299.21,0,17.467,57.027,0,1.06,18.606,01-03-2024 00:00,-1595.333
01-03-2024 00:15,01-03-2024 05:45,296.501,0,17.42,58.213,0,0.992,18.846,01-03-2024 00:15,-1551.4
01-03-2024 00:30,01-03-2024 06:00,312.829,0,17.587,58.933,0,1.248,19.052,01-03-2024 00:30,-1563.533
01-03-2024 00:45,01-03-2024 06:15,310.025,0,17.62,59.02,0,1.276,19.131,01-03-2024 00:45,-1528.867
01-03-2024 01:00,01-03-2024 06:30,318.078,0,17.503,58.887,0,1.222,19.206,01-03-2024 01:00,-1495
01-03-2024 01:15,01-03-2024 06:45,307.753,0,17.393,58.393,0,1.374,19.08,01-03-2024 01:15,-1507
01-03-2024 01:30,01-03-2024 07:00,312.983,2.247,17.313,58.233,2.012,1.398,18.914,01-03-2024 01:30,111.867
01-03-2024 01:45,01-03-2024 07:15,304.204,21.404,17.347,57.86,20.352,1.482,19.416,01-03-2024 01:45,8050.333
01-03-2024 02:00,01-03-2024 07:30,317.012,42.92,17.587,57.127,39.875,1.532,20.351,01-03-2024 02:00,17074.467
01-03-2024 02:15,01-03-2024 07:45,315.394,52.603,17.76,56.727,48.013,1.74,20.851,01-03-2024 02:15,20456.333
01-03-2024 02:30,01-03-2024 08:00,302.894,84.288,17.973,56.533,78.674,1.73,21.469,01-03-2024 02:30,35733.933
01-03-2024 02:45,01-03-2024 08:15,305.953,117.8,18.267,55.633,105.313,2.072,22.556,01-03-2024 02:45,48885.933
01-03-2024 03:00,01-03-2024 08:30,327.679,83.03,18.333,54.833,76.186,1.76,22.101,01-03-2024 03:00,34964.333
01-03-2024 03:15,01-03-2024 08:45,330.843,247.61,18.687,53.687,216.095,1.746,23.193,01-03-2024 03:15,115583.267
01-03-2024 03:30,01-03-2024 09:00,313.041,367.212,19.753,50.307,315.552,1.63,26.822,01-03-2024 03:30,156021.8
01-03-2024 03:45,01-03-2024 09:15,333.764,450.035,20.72,47.24,383.328,1.718,29.404,01-03-2024 03:45,190845.267
01-03-2024 04:00,01-03-2024 09:30,337.554,498.111,21.32,45.06,419.397,1.818,31.445,01-03-2024 04:00,212317.467
01-03-2024 04:15,01-03-2024 09:45,271.661,534.36,22.147,41.9,445.69,1.698,33.692,01-03-2024 04:15,233060.333
01-03-2024 04:30,01-03-2024 10:00,190.056,626.073,23.193,38.633,527.648,1.744,36.907,01-03-2024 04:30,264758.8
